	gene_symbol	10.0
216276_s_at	ADAM3A	-7.47087597911e-05
203595_s_at	IFIT5	7.4728144793e-05
215040_at	RNASEH2B	7.48913965829e-05
215627_at	-666	-7.48922336069e-05
210516_at	FAM120A	-7.5096671069e-05
213745_at	ATRNL1	7.53777952643e-05
216987_at	IRF4	7.55816361824e-05
216553_x_at	-666	7.62904433372e-05
210826_x_at	RAD17	7.63508360292e-05
208651_x_at	CD24	-7.67391882342e-05
200013_at	RPL24	-7.68430955622e-05
214525_x_at	MLH3	7.69071928644e-05
220852_at	PRO1768	7.715506563e-05
209612_s_at	ADH1B	7.80444300151e-05
211315_s_at	CACNA1G	7.82595682842e-05
205199_at	CA9	7.88275541496e-05
215523_at	ZNF391	-7.89614830334e-05
210891_s_at	-666	7.89617865261e-05
221672_s_at	TRAPPC9	-7.90393302301e-05
211141_s_at	CNOT3	-7.90534028017e-05
208420_x_at	SUPT6H	-7.92154638563e-05
211574_s_at	CD46	-7.94432259294e-05
215314_at	-666	7.96902763503e-05
213908_at	-666	7.97380256058e-05
220401_at	FLJ21369	-7.98717433542e-05
216978_x_at	-666	8.00896761088e-05
216016_at	NLRP3	-8.02877116008e-05
203826_s_at	PITPNM1	-8.03034312295e-05
208378_x_at	FGF5	8.03084180906e-05
206545_at	CD28	8.08055795452e-05
220972_s_at	KRTAP9-9	-8.09973556769e-05
207928_s_at	GLRA3	-8.15908747159e-05
201442_s_at	ATP6AP2	-8.17190773371e-05
207893_at	SRY	-8.24142208768e-05
217240_at	SIRPB1	-8.26679778485e-05
219858_s_at	MFSD6	-8.3206273444e-05
207729_at	CDH9	-8.33087013435e-05
214357_at	C1ORF105	8.33581749154e-05
221220_s_at	SCYL2	-8.36589388681e-05
212491_s_at	DNAJC8	-8.37068325495e-05
222122_s_at	THOC2	-8.41288899005e-05
217372_at	-666	-8.46866638475e-05
220712_at	C8ORF60	-8.51246338862e-05
219403_s_at	HPSE	-8.51866536792e-05
203264_s_at	ARHGEF9	-8.58325618275e-05
205929_at	GPA33	8.62562909952e-05
218964_at	ARID3B	8.6390028258e-05
220190_s_at	-666	8.63909919741e-05
203503_s_at	PEX14	8.64246678386e-05
203756_at	ARHGEF17	-8.74628305349e-05
215421_at	LOC100131510	-8.75739533531e-05
202594_at	LEPROTL1	-8.81549080613e-05
221338_at	LY6G6E	-8.87977987038e-05
207878_at	KRT76	8.92494162371e-05
216797_at	-666	8.94702193282e-05
212273_x_at	GNAS	8.94751810947e-05
220170_at	FHL5	-8.9653662356e-05
211021_s_at	RGS14	-8.97807239571e-05
205872_x_at	PDE4DIP	-9.06306466456e-05
210159_s_at	TRIM31	9.07955154816e-05
207926_at	GP5	-9.13450486118e-05
208007_at	-666	9.14709227325e-05
207726_at	ESRRB	9.14934752094e-05
208073_x_at	TTC3	9.2067713413e-05
210056_at	RND1	9.25263454405e-05
208334_at	NDST4	9.27210339741e-05
202247_s_at	MTA1	-9.27365600477e-05
221857_s_at	TJAP1	9.27889526998e-05
208468_at	SOX21	9.28083659534e-05
205393_s_at	CHEK1	-9.32378008419e-05
206306_at	RYR3	9.33362371142e-05
214488_at	RAP2B	-9.33371977516e-05
210157_at	C19ORF2	9.37440969669e-05
201492_s_at	RPL41	-9.37747720824e-05
221349_at	VPREB1	-9.41671906593e-05
218776_s_at	TMEM62	-9.43660503589e-05
214683_s_at	-666	-9.4405180783e-05
207099_s_at	CHM	-9.48894991865e-05
217134_at	MTAP	-9.48974950221e-05
210960_at	ADRA1D	9.52985920879e-05
222308_x_at	-666	9.53111364874e-05
208875_s_at	PAK2	-9.54326471979e-05
208728_s_at	CDC42	-9.5472447012e-05
206521_s_at	GTF2A1	9.6272323841e-05
220886_at	GABRQ	9.65566974186e-05
215105_at	CG030	9.67891021921e-05
221329_at	OR52A1	9.70341561408e-05
208013_s_at	ACRV1	-9.72222107916e-05
220550_at	FBXO4	9.7289965406e-05
208459_s_at	XPO7	9.75151321019e-05
216849_at	-666	9.7808032764e-05
213084_x_at	RPL23A	-9.788807054e-05
208329_at	PBOV1	-9.80269277537e-05
210808_s_at	NOX1	-9.82757251453e-05
217534_at	FAM49B	9.82961240416e-05
210656_at	EED	9.88131114506e-05
222317_at	PDE3B	9.88660185929e-05
220388_at	FER1L4	9.89656253313e-05
209819_at	HABP4	9.91111481427e-05
211589_at	PML	-9.91607222473e-05
207274_at	CHRNE	-9.9251620595e-05
51226_at	-666	-9.94510933888e-05
207017_at	RAB27B	9.94748437666e-05
213142_x_at	PION	-9.95324394197e-05
216363_at	-666	-9.96234726059e-05
212857_x_at	SUB1	-0.000100200364425
221052_at	TDRKH	0.000100444706173
45749_at	FAM65A	0.000100539143528
205837_s_at	GYPA	-0.000100627259195
207883_s_at	TFR2	-0.0001006396313
213414_s_at	RPS19	0.00010073067982
206191_at	ENTPD3	0.000100866610321
222329_x_at	-666	0.000101125903235
220627_at	CST8	0.000101145946611
205091_x_at	RECQL	0.000101683629966
220278_at	KDM4D	-0.000101761997302
208440_at	C3ORF27	-0.000102013682125
213719_s_at	SMARCA4	0.000102029023944
201429_s_at	RPL37A	-0.00010228150579
213189_at	MINA	0.000102579061068
206493_at	ITGA2B	-0.000102623713687
209423_s_at	PHF20	0.00010275095484
222109_at	GNL3L	0.000102775319903
221798_x_at	-666	0.000102802652017
219501_at	ENOX1	-0.000102809282744
210361_s_at	ELF2	0.000102816055615
202996_at	POLD4	0.000102871432827
207772_s_at	PRMT8	-0.000104425548292
220415_at	TNNI3K	-0.000104441873522
216914_at	CDC25C	-0.000105262600413
211534_x_at	PTPRN2	-0.000105430481748
214811_at	RIMBP2	0.000105644416425
207794_at	CCR2	0.000105760468743
216420_at	-666	0.000105772836697
209613_s_at	ADH1B	-0.00010597060017
217600_at	SCUBE3	-0.000106595384462
216007_at	-666	-0.00010704018097
221228_s_at	-666	-0.000107050540153
208230_s_at	NRG1	0.000107281680935
214092_x_at	SUGP2	-0.000107315872202
213166_x_at	MZT2A	0.000107574980144
219664_s_at	DECR2	-0.000108406599813
217111_at	AMACR	0.000108489293408
218943_s_at	DDX58	-0.000109662654057
214255_at	ATP10A	0.000109768583786
218996_at	TFPT	-0.000110172232018
218070_s_at	GMPPA	-0.000110900204533
215103_at	CYP2C18	-0.000111284431982
213160_at	DOCK2	0.000111308104287
204167_at	BTD	0.000111318833037
218043_s_at	AZI2	0.000111648982577
216218_s_at	PLCL2	-0.00011191272942
215745_at	-666	0.00011205118422
214968_at	DDX51	0.000112405690911
208575_at	HIST1H3A	-0.000112486264126
209955_s_at	FAP	0.000112638639667
200639_s_at	YWHAZ	-0.000112668393003
210221_at	CHRNA3	-0.000112956039851
206942_s_at	PMCH	-0.000113028593956
209664_x_at	NFATC1	-0.000113156738994
202993_at	ILVBL	-0.000113232832349
214236_at	LOC100286895	-0.000113311800945
200638_s_at	YWHAZ	-0.000113823038026
211184_s_at	USH1C	0.000114001449015
204305_at	MIPEP	0.000114327037066
214772_at	C11ORF41	-0.000115289942811
222145_at	-666	-0.000115901916706
204859_s_at	APAF1	0.000116154915362
