	gene_symbol	3.33
37020_at	CRP	-8.24916912455e-05
215072_x_at	C10ORF137	-8.2621543883e-05
51200_at	C19ORF60	-8.26465071593e-05
206038_s_at	NR2C2	8.26795822212e-05
206048_at	OVOL2	-8.28620264895e-05
218018_at	PDXK	8.41181527951e-05
213670_x_at	NSUN5P1	-8.49193206723e-05
219663_s_at	TMEM121	8.49846385281e-05
204028_s_at	RABGAP1	8.57098507767e-05
215791_at	-666	-8.58651035607e-05
200038_s_at	RPL17	8.58784922775e-05
219313_at	GRAMD1C	-8.60494953823e-05
208008_at	TBC1D29	-8.65981057439e-05
212217_at	PREPL	8.68325582885e-05
201037_at	PFKP	8.71460651536e-05
214284_s_at	FGF18	8.78415533617e-05
204618_s_at	GABPB1	-8.8017082456e-05
210702_s_at	PTGIS	8.81982175942e-05
207444_at	SLC22A13	8.86030409438e-05
203959_s_at	ZBTB40	8.87199697917e-05
213962_s_at	ANKLE2	-8.87962625997e-05
214367_at	RASGRP2	8.88252432145e-05
210048_at	NAPG	8.89036804091e-05
206136_at	FZD5	-8.9040572071e-05
211614_at	-666	-8.9277854396e-05
207320_x_at	STAU1	8.94524711942e-05
217694_at	-666	-9.03340159844e-05
221331_x_at	CTLA4	-9.07679180844e-05
213393_at	MFSD9	-9.09154985781e-05
218079_s_at	GGNBP2	-9.10361501175e-05
209723_at	SERPINB9	9.13607689099e-05
211402_x_at	NR6A1	9.14580268361e-05
214366_s_at	ALOX5	-9.16013983509e-05
216821_at	KRT8	9.16114297115e-05
207939_x_at	RNPS1	9.19310645581e-05
209299_x_at	PPIL2	9.23708156854e-05
206311_s_at	PLA2G1B	9.24760612334e-05
216820_at	-666	9.25298091436e-05
206951_at	HIST1H4E	9.2912075926e-05
208508_s_at	OR2J2	-9.2927964217e-05
207089_at	NRAP	-9.29840161874e-05
219370_at	RPRM	9.33269788139e-05
213998_s_at	DDX17	-9.3408255133e-05
216677_at	ZNF154	9.35399727829e-05
211460_at	-666	9.35762433652e-05
219065_s_at	-666	9.36542538335e-05
204153_s_at	MFNG	-9.36776431392e-05
216496_s_at	-666	9.41419374974e-05
218393_s_at	SMU1	9.44697681762e-05
205665_at	TSPAN9	-9.52985304765e-05
207488_at	-666	9.55595222805e-05
216785_at	-666	9.57658268132e-05
217225_x_at	-666	-9.65987569597e-05
218615_s_at	TMEM39A	9.67273654797e-05
216068_at	-666	-9.73238646691e-05
220829_s_at	B3GALT1	9.78762260116e-05
213945_s_at	-666	9.78986788618e-05
204016_at	LARS2	-9.80451748223e-05
209958_s_at	BBS9	9.87785896443e-05
209860_s_at	ANXA7	-9.90752315188e-05
216240_at	PVT1	9.93555818978e-05
207251_at	MEP1B	9.96232576971e-05
218722_s_at	CCDC51	-0.00010050466271
214566_at	SMR3A	-0.000101110364632
215721_at	IGHG1	-0.00010127794437
215753_at	-666	-0.000101719346785
206903_at	EXOG	0.000101727133829
206617_s_at	RENBP	0.000101812566513
208032_s_at	GRIA3	0.000102041461439
218294_s_at	NUP50	-0.000102960505715
217380_s_at	XPNPEP1	0.000103675888969
216966_at	ITGA2B	-0.000104016347452
215875_at	-666	0.000104042093812
205974_at	HOXD1	0.000104297336554
211652_s_at	LBP	-0.000104561927757
201112_s_at	CSE1L	-0.000104838802232
218038_at	ATP5SL	-0.000105279508271
208218_s_at	ACVR1B	-0.000105323262701
217278_x_at	-666	-0.000105481011037
212263_at	QKI	-0.000105498994214
203726_s_at	LAMA3	-0.000105752987948
214682_at	LOC399491	-0.000106057019024
210434_x_at	JTB	-0.000106194256251
220536_at	VRTN	0.000106412090531
217058_at	GNAS	-0.000106434214577
202446_s_at	PLSCR1	-0.000106565838837
219299_at	TRMT12	0.000107050015177
217872_at	PIH1D1	0.00010711948849
209869_at	ADRA2A	-0.000107216576505
215692_s_at	MPPED2	0.000107435189032
206771_at	UPK3A	0.000107469704872
221188_s_at	CIDEB	0.000107821188173
218783_at	INTS7	-0.000108311974834
220225_at	IRX4	0.00010835342522
204715_at	PANX1	-0.000108485043619
212315_s_at	NUP210	0.000108562277019
213867_x_at	ACTB	0.000108886852001
57532_at	DVL2	-0.000109389828328
214944_at	PHLPP2	-0.000109574921055
220807_at	HBQ1	0.000110005216896
204983_s_at	GPC4	-0.00011065542661
211225_at	FUT5	-0.000110695768259
207882_at	-666	-0.000111018187797
211127_x_at	EDA	0.000111463809931
220869_at	UBA6	-0.000111655286157
213523_at	CCNE1	0.00011171474327
212044_s_at	RPL27A	-0.000111799143089
211310_at	EZH1	-0.000111805380366
221360_s_at	GHSR	-0.000112131963324
200798_x_at	MCL1	0.000112813095347
201698_s_at	SRSF9	0.000113167634888
208422_at	MSR1	-0.000113683855359
216572_at	FOXL1	-0.000114339419686
216020_at	IFIH1	-0.000114455150644
219326_s_at	B3GNT2	-0.000114831184411
215530_at	FANCA	-0.000115172835532
206251_s_at	AVPR1A	0.000115464653777
212371_at	PPPDE1	-0.000115479050559
215767_at	ZNF804A	0.000115975241307
216632_at	NAV3	-0.000116165017097
210690_at	KLRC4	0.000116235656946
207816_at	LALBA	-0.000116299640783
220859_at	-666	-0.000116954523781
202714_s_at	KIAA0391	-0.000116968767265
219598_s_at	RWDD1	-0.000117044881738
34858_at	KCTD2	0.000117081264333
217117_x_at	MUC3A	0.000117107602094
204169_at	IMPDH1	0.000117269533114
216646_at	DSCC1	0.000117465527761
208521_at	OR5I1	0.000118121676691
207025_at	GJC2	-0.000118137673408
211680_at	PDLIM5	0.000118280399659
204692_at	-666	0.00011830752358
219388_at	GRHL2	-0.000118649046705
208652_at	PPP2CA	-0.000119167201501
210741_at	ARHGEF12	0.000119717426574
221886_at	DENND2A	-0.000119798989159
210256_s_at	PIP5K1A	0.000120687707164
203952_at	ATF6	-0.000120713938548
211199_s_at	ICOSLG	0.000121061875091
212161_at	AP2A2	0.000121177936404
221517_s_at	MED17	0.000121314358411
209140_x_at	HLA-B	0.000121315378564
207878_at	KRT76	-0.000121369131299
216023_at	KDM4B	0.000121919509178
202772_at	HMGCL	-0.000121951226772
216807_at	KIAA1751	0.000122096617239
209300_s_at	NECAP1	-0.000122260885129
222261_at	KIAA1609	0.000123096090889
212111_at	STX12	0.000123360301379
212384_at	-666	0.000123798949858
209085_x_at	RFC1	0.000124091945936
207266_x_at	RBMS1	-0.000124166273743
212969_x_at	EML3	0.00012422462387
203096_s_at	RAPGEF2	0.00012435442335
207252_at	INE1	0.00012436472588
210931_at	RNF6	-0.000124591617311
217394_at	-666	0.000125155052786
38340_at	HIP1R	0.000125611285942
218263_s_at	ZBED5	0.000125631464041
219837_s_at	CYTL1	-0.000125800714914
216459_x_at	TIGD1L	-0.000125833017697
203455_s_at	SAT1	-0.000125833142131
207378_at	TREH	-0.000125972338433
217280_x_at	-666	0.000126223062519
216738_at	-666	0.000126591702762
212600_s_at	UQCRC2	-0.000128696451854
216739_at	-666	0.000129168315572
209625_at	PIGH	0.000129266227569
203445_s_at	CTDSP2	0.000129666435214
216061_x_at	PDGFB	0.000129707016287
200077_s_at	OAZ1	-0.000129993676832
219441_s_at	LRRK1	0.000130104071353
219134_at	ELTD1	-0.000130498868959
202143_s_at	COPS8	0.00013067415439
222259_s_at	SPO11	0.000131132256385
204529_s_at	TOX	0.000132129263118
204207_s_at	RNGTT	0.000132158367533
218887_at	MRPL2	-0.00013328323366
203225_s_at	RFK	0.000133736554329
204717_s_at	SLC29A2	0.000133883886488
204205_at	APOBEC3G	0.000133999714706
215742_at	-666	0.000134228164321
65517_at	AP1M2	-0.000134738650045
214193_s_at	DIEXF	0.00013515469858
203195_s_at	NUP98	-0.000135409073684
215155_at	HEXA	-0.000136058113189
215455_at	TIMELESS	0.000136171895478
221097_s_at	KCNMB2	0.000136271265707
201200_at	CREG1	-0.000136622079844
209973_at	NFKBIL1	0.000136783949048
211050_x_at	-666	0.000136820361719
210027_s_at	APEX1	0.000137227899148
222116_s_at	TBC1D16	-0.00013740244122
211324_s_at	-666	0.000137502126078
212089_at	LMNA	-0.000137784028427
209337_at	PSIP1	-0.000137852322902
202167_s_at	MMS19	-0.000137934097522
214748_at	N4BP2L2	0.000138195172412
201654_s_at	HSPG2	-0.000138285750768
203635_at	DSCR3	0.000138465464245
211157_at	-666	-0.00013846962076
202137_s_at	ZMYND11	-0.000138596182887
206249_at	MAP3K13	-0.000138659080858
217231_s_at	MAST1	0.000138759853603
216711_s_at	TAF1	0.000138916781241
218085_at	CHMP5	0.000138972584151
220861_at	-666	-0.000139185745525
221252_s_at	GSG1	0.000139228493624
205092_x_at	ZBTB1	0.00013966413894
202629_at	APPBP2	0.000139862973953
216164_at	LRRN2	0.00013991726497
201483_s_at	SUPT4H1	-0.000140679828378
219772_s_at	SMPX	0.000141032735186
208280_at	CDRT1	-0.00014187971293
200033_at	DDX5	0.000141928621936
65635_at	ENGASE	-0.000142371792829
203550_s_at	FAM189B	0.000142528975552
202999_s_at	LOXL2	0.000142905667058
206611_at	C2ORF27A	0.000143278322632
205987_at	CD1C	-0.000143389420973
208592_s_at	CD1E	0.000144165701081
216361_s_at	KAT6A	-0.000144327245306
215463_at	OR7E24	0.0001444252105
214685_at	C4ORF10	0.00014444043211
205688_at	TFAP4	0.000144603467864
214982_at	SNRNP200	-0.00014572681763
204248_at	GNA11	0.000146578651532
211690_at	RPS6	0.000146670099609
201564_s_at	FSCN1	-0.000146877753838
211620_x_at	-666	-0.000147568123511
211928_at	DYNC1H1	0.000148217815234
216735_x_at	-666	0.000148291972076
212735_at	KIAA0226	0.000148438360283
219417_s_at	C17ORF59	-0.000148534070373
207987_s_at	GNRH1	-0.000148652397821
218107_at	WDR26	0.000149071726584
210370_s_at	LY9	-0.000149140791595
205571_at	LIPT1	0.000149147032431
208323_s_at	ANXA13	-0.000149199129081
212017_at	FAM168B	0.000149696141728
209502_s_at	BAIAP2	0.000149803407488
216294_s_at	KIAA1109	0.000149946157046
201356_at	SF3A1	0.000150818253236
213542_at	ZNF710	-0.000151113853996
213184_at	SENP5	0.000151678984379
212541_at	FLAD1	-0.000153888322494
215627_at	-666	0.000154143907881
213435_at	SATB2	0.000154146819591
201514_s_at	G3BP1	0.000154219834282
216816_at	-666	0.000154226348315
215725_at	DGCR11	-0.000154321859173
221492_s_at	ATG3	-0.000154448681079
210623_at	UBXN1	-0.000154489635089
213608_s_at	SRRD	0.000155256754441
214019_at	-666	-0.000155272044363
216968_at	MASP2	0.00015568423048
215689_s_at	SHBG	0.000156521534722
215796_at	-666	-0.000156590140052
214080_x_at	PRKCSH	-0.000157053127461
71933_at	WNT6	0.000157266954781
208213_s_at	KCNAB1	-0.000157369781347
207790_at	LRRC1	-0.000157455946077
206897_at	PAGE1	-0.000157491323695
200015_s_at	SEPT2	0.000157515454934
222378_at	-666	0.000157638825471
206864_s_at	HRK	-0.000158077104335
216444_at	-666	-0.000158685802427
203307_at	GNL1	-0.000158869189278
