id	RN_Target_Gene_ID	SM_Center_Compound_ID	SM_Dose	SM_Dose_Unit	SM_LINCS_ID	SM_Name	SM_Pert_Type	SM_Time	SM_Time_Unit	det_plate	det_well
MCF10A-ctl_vehicle-12768	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	N21
MCF10A-ctl_vehicle-12769	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	N22
MCF10A-ctl_vehicle-12770	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	N23
MCF10A-ctl_vehicle-12771	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	N24
MCF10A-ctl_vehicle-12817	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	A05
MCF10A-ctl_vehicle-12818	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	A06
MCF10A-ctl_vehicle-12834	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	B03
MCF10A-ctl_vehicle-12835	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	B04
MCF10A-ctl_vehicle-12836	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	B05
MCF10A-ctl_vehicle-12837	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	B06
MCF10A-ctl_vehicle-12920	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	F07
MCF10A-ctl_vehicle-12921	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	F08
MCF10A-ctl_vehicle-12922	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	F09
MCF10A-ctl_vehicle-12923	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	F10
MCF10A-ctl_vehicle-12924	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	F11
MCF10A-ctl_vehicle-13011	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	J13
MCF10A-ctl_vehicle-13012	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	J15
MCF10A-ctl_vehicle-13013	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	J16
MCF10A-ctl_vehicle-13014	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	J18
MCF10A-ctl_vehicle-13103	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	N19
MCF10A-ctl_vehicle-13104	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	N20
MCF10A-ctl_vehicle-13105	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	N21
MCF10A-ctl_vehicle-13106	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	N22
MCF10A-ctl_vehicle-13107	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	N23
MCF10A-ctl_vehicle-13108	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X1_B17	N24
MCF10A-ctl_vehicle-13153	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	A03
