	gene_symbol	1.11
203822_s_at	ELF2	5.14800921545e-05
209017_s_at	LONP1	5.18970361593e-05
215675_at	LOC100129648	5.19202677954e-05
207382_at	TP63	5.26190058986e-05
214389_at	SLC5A12	-5.28792642492e-05
213688_at	CALM1	5.29729041227e-05
217650_x_at	ST3GAL2	-5.32258114236e-05
212455_at	YTHDC1	-5.3584486652e-05
211778_s_at	OVOL2	5.39111990843e-05
222057_at	NOL12	-5.40345232185e-05
218304_s_at	OSBPL11	-5.59690783215e-05
219844_at	C10ORF118	5.63073427271e-05
200963_x_at	RPL31	5.65052460908e-05
212313_at	CHMP7	5.67134773545e-05
207435_s_at	SRRM2	-5.74468025089e-05
218233_s_at	-666	5.75325911843e-05
221867_at	N4BP1	5.8149602747e-05
210981_s_at	GRK6	5.838234576e-05
203027_s_at	MVD	-5.84294475951e-05
218699_at	RAB7L1	5.84867219147e-05
210784_x_at	-666	5.87230955628e-05
220949_s_at	C7ORF49	5.89850339174e-05
221583_s_at	KCNMA1	5.90816989689e-05
215865_at	SYT12	-5.91786716942e-05
218636_s_at	MAN1B1	5.9517102393e-05
212777_at	SOS1	-5.98309659609e-05
213339_at	TP73-AS1	-6.04488264894e-05
209387_s_at	TM4SF1	6.05176861525e-05
210646_x_at	RPL13A	-6.13181646453e-05
208759_at	NCSTN	6.15130054098e-05
211334_at	MRE11A	-6.16499509715e-05
219783_at	C2ORF18	6.16867589906e-05
221125_s_at	KCNMB3	-6.2086956089e-05
213900_at	FAM189A2	6.22421645215e-05
202573_at	CSNK1G2	-6.24955843189e-05
221626_at	ZNF506	-6.2741072859e-05
221925_s_at	CSPP1	6.2755579294e-05
211493_x_at	DTNA	6.40538696722e-05
205359_at	AKAP6	6.45021426646e-05
214687_x_at	ALDOA	6.46016683118e-05
220395_at	DNAJA4	-6.49440319414e-05
203868_s_at	VCAM1	6.59320204706e-05
208647_at	FDFT1	6.60241684804e-05
219388_at	GRHL2	-6.60475208613e-05
201033_x_at	RPLP0	-6.61939533494e-05
216069_at	-666	-6.67699801299e-05
206729_at	TNFRSF8	-6.68810900982e-05
208457_at	GABRD	-6.70884301934e-05
34478_at	RAB11B	-6.76988926642e-05
209625_at	PIGH	6.82901528044e-05
207226_at	HIST1H2BN	6.83486638488e-05
201369_s_at	ZFP36L2	6.88032441978e-05
218480_at	AGBL5	-6.89068591503e-05
219330_at	VANGL1	-6.89759446223e-05
206417_at	CNGA1	-6.90033357128e-05
