concentration,MCF10A-GM_(Broad)_72_R1,MCF10A-GM_(HMS)_72_R1,MCF10A-H2B_(HMS)_72_R1,MCF10A-HMS_(HMS)_72_R1,MCF10A-OHSU_(HMS)_72_R1,MCF10A-GM_(HMS)_72_R2,MCF10A-H2B_(HMS)_72_R2,MCF10A-HMS_(HMS)_72_R2,MCF10A-OHSU_(HMS)_72_R2,MCF10A-GM_(HMS)_72_R3,MCF10A-H2B_(HMS)_72_R3,MCF10A-HMS_(HMS)_72_R3,MCF10A-OHSU_(HMS)_72_R3,MCF10A-GM_(DToxS)_72_R1,MCF10A-GM_(DToxS)_72_R2,MCF10A-GM_(Neuro)_72_R1,MCF10A-GM_(Neuro)_72_R2,MCF10A-GM_(Neuro)_72_R3,MCF10A-GM_(MEP)_72_R1,MCF10A-GM_(MEP)_72_R2,Median
0.00794328234724,0.987007892321,0.995171926838,0.982311359093,0.928685415156,0.989198609493,0.998251852852,0.99869718808,0.989698639674,0.996073350415,0.997269796939,0.999214276796,0.869719848668,0.99769797868,0.979185563054,0.818527645207,1.0,1.0,1.0,0.999999978911,0.994813705398,0.994813705398
0.00891250938134,0.985902178356,0.994592090784,0.980235594165,0.92190529746,0.987991026583,0.997914075082,0.998398862489,0.987812690133,0.995491131168,0.996857361113,0.999043218684,0.86117944054,0.997313260941,0.975982286371,0.809915042245,1.0,1.0,1.0,0.999999966118,0.994093777998,0.994093777998
0.01,0.984704315494,0.993943272788,0.977922531029,0.914547308705,0.986650687469,0.99751128558,0.998032398888,0.985587604911,0.994823236923,0.996382980058,0.998834993974,0.852183010129,0.996864566771,0.972308184295,0.801019091674,1.0,1.0,1.0,0.999999945565,0.993277266262,0.993277266262
0.011220184543,0.983406969549,0.993217432407,0.975346594596,0.906575179739,0.985163526446,0.997031078992,0.997582323325,0.982964835372,0.994057267806,0.995837466428,0.998581563045,0.842719857875,0.996341372285,0.968101277992,0.791842228857,1.0,1.0,1.0,0.999999912544,0.992352196743,0.992352196743
0.0125892541179,0.982002283433,0.992405634125,0.972479834137,0.897952864674,0.983514111388,0.996458728166,0.997029693,0.979876684512,0.99317909503,0.995210307956,0.998273164419,0.83278085121,0.995731463973,0.963293755052,0.782388078287,1.0,1.0,1.0,0.999999859492,0.99130539807,0.99130539807
0.0141253754462,0.980481850682,0.991497958395,0.969291796841,0.888645098717,0.981685540158,0.995776768742,0.996351341655,0.976245255719,0.992172640682,0.994489488581,0.997897954292,0.822358670381,0.995020682399,0.957812182886,0.772661504933,1.0,1.0,1.0,0.999999774258,0.990122465431,0.990122465431
0.0158489319246,0.978836689673,0.990483406607,0.965749419849,0.878618046931,0.979659336285,0.994964517553,0.995518972539,0.971981435581,0.991019636149,0.993661289428,0.997441574586,0.811448058573,0.994192632476,0.951578026981,0.762668656988,1.0,1.0,1.0,0.999999637322,0.988787752083,0.988787752083
0.0177827941004,0.977057219016,0.989349800321,0.96181694911,0.867840043766,0.977415346023,0.993997517772,0.994498074227,0.966983989586,0.989699359389,0.992710068686,0.996886637331,0.800046071894,0.993228357971,0.944508561327,0.7524169987,1.0,1.0,1.0,0.999999417319,0.987284397648,0.987284397648
0.0199526231497,0.975133234706,0.988083675402,0.957455895178,0.856282419173,0.974931639489,0.99284690471,0.993246633801,0.961138881819,0.988188352185,0.991618019972,0.996212112024,0.788152324111,0.99210597861,0.9365182648,0.741915332014,1.0,1.0,1.0,0.999999063861,0.985594404661,0.985594404661
0.0223872113857,0.973053889719,0.986670172024,0.952625037902,0.843920402217,0.972184419297,0.991478688024,0.991713623317,0.954318968925,0.986460119878,0.990364909454,0.995392602015,0.775769220369,0.990800289293,0.927520796523,0.731173805856,1.0,1.0,1.0,0.999998495995,0.983698776429,0.983698776429
0.0251188643151,0.970807676843,0.985092921972,0.947280494,0.830734087278,0.969147940923,0.989852949515,0.989837240362,0.946384263439,0.984484817855,0.988927793044,0.994397496112,0.762902173584,0.98928232264,0.917431631166,0.720203912057,1.0,1.0,1.0,0.999997583663,0.981577730414,0.981577730414
